Data_name,Data_name_kr,Acronym,Data_type,Data_category,Source_organization,Access_method,Portal_or_system_url,Spatial_coverage,Spatial_resolution,Temporal_coverage,Temporal_resolution,Data_volume_or_scale,Collection_method,Instruments_or_tools,Data_format,Parameters_measured,Usage_in_study,Data_availability,Notes,Source
Automated Surface Observing System,종관기상관측,ASOS,meteorological,"rainfall, temperature",Korea Meteorological Administration (KMA),public_portal,https://data.kma.go.kr/,South Korea,Point measurement,1972–2022,Daily,38 stations (selected),automatic sensor,Not in source,CSV,"Temperature, Precipitation, Wind speed, Humidity, Solar radiation",Provided observation data for bias correction (SQM) of Global Climate Models.,open,Used as the 'OBS' baseline for statistical comparison.,16
Fish Habitat Survey Data,어류조사 및 물리서식처 자료,Not in source,biological,ecology,Ministry of Environment,public_portal,https://water.nier.go.kr/,Downstream of Daecheong Dam (Geum River),Reach-scale,2013–2017,Event-based,"B-Geumgang 18, 19, 20 points",manual sampling,Biological Monitoring Network,Digital data,"Fish species, Individual counts, Endangered species status, Habitat Suitability Index (HSI)",Analysis of fish habitat changes according to dam discharge patterns using River2D.,open,Used for environmental ecological flow assessment.,35
Digital Transformation Survey,상수도 디지털 전환 설문조사,CVM Survey,survey,consumer perception/WTP,K-water Research Institute / Hanbat National University,field_collection,Online survey platform,"14 major cities/provinces in Korea (excluding Busan, Daejeon, Jeju)",Household level,Approximately 3 weeks in late 2024,one-time,"1,400 households (700 per group)",Online questionnaire,"Likert scale, Double-bounded dichotomous choice",Not in source,"Willingness to pay (WTP), necessity perception, reliability improvement, expected effects",Used for CVM analysis (Spike/Bivariate Probit) to calculate the economic value of digital transformation.,restricted,Conducted by a professional survey agency; split into two groups for different technologies.,36
K-water Dam Operation Data,K-water 댐 운영자료,RWIS,hydrological,streamflow,K-water (Korea Water Resources Corporation),internal_DB,MyWater (link),"Daecheong Dam, Juam Dam",Dam-scale,2005–2023,Daily,Dam management units,Automatic sensor / Monitoring system,Dam management system,Not in source,"Inflow rate, Discharge rate, Storage volume, Water level","Input variables to reflect hydraulic characteristics (retention time, water levels) in the AI model.",internal_only,Essential for reflecting the physical environment of dam reservoirs.,37
SGIS (Statistical Geographic Information Service),통계지리정보서비스,SGIS,geospatial,GIS,KOSTAT (Statistics Korea),public_portal,https://sgis.kostat.go.kr/view/index,national,1km grid,2009–2022,annual,Not in source,administrative,"API, GIS files (*.shp, *.csv)","CSV, SHP","population, household, housing, business entities",Used for socioeconomic characteristic analysis and DMA (District Metered Area) classification using SOM (Self-Organizing Map).,open,"Includes 100m, 500m, 1km, 10km, 100km resolution options; study primarily used 1km grid for matching with DMA boundaries.",17
Busan EDC Smart Water Care Data,부산EDC 스마트워터케어 데이터,Busan EDC SWM,field_measurement,water_use,K-water,internal_DB,Not in source,Busan Eco Delta City (19 Households),faucet level (sensor per purpose),2022.06.14–2024.05.08,"hourly (approx. 15,724 records)","55 parameters, 19 households",automatic sensor,Faucet-based smart meters,CSV,"Total use, Hot water, Sink, Toilet, Shower, Bathtub, Washing machine, Washbasin, Outdoor use",Used to analyze detailed water usage patterns by component to set base units (LPCD/LPH).,internal_only,High-resolution data allowing analysis of specific use purposes within a household.,17
Groundwater Usage Monitoring Data (Remote),지하수 이용량 원격 모니터링 자료,Not in source,field_measurement,"water level, flow rate",K-water (국가지하수정보센터),internal_DB,National Groundwater Information Center,National (South Korea),"Point measurement (11,104 stations total, 6,295 sites analyzed)",2021–2024,"Hourly, Daily, Monthly","11,104 stations (original), 6,295 sites (analyzed database)",automatic sensor (remote monitoring system),"Flow meters (유량계), Remote terminals (단말기)","CSV, DB (Excel-based raw data mentioned)","Cumulative flow (유량계 누적값), Hourly usage, Daily usage, Monthly usage","Main dataset used for factor analysis, outlier detection, and developing usage estimation models.",internal_only,Primary source for the AI Data Lab pipeline construction.,38
Saeol Administrative System Data,새올행정시스템 지하수 자료,Saeol,administrative,groundwater facility management,Korea Local Information Research & Development Institute (KLID),internal_DB,Saeol Administrative System,National (local governments),Administrative unit (Si/Gun/Gu),Continuous,Daily/Event-based reporting,Not in source,Administrative reporting,Saeol System software,DB,"Facility location, user info, purpose, permit status, usage fee data",Referenced for improving policy/institutional reporting and automated estimation logic.,internal_only,Crucial for synchronizing national statistics with local government records.,38
High Turbidity Jar-Test Experimental Data,고탁도 유입시 조건별 알루미늄 농도 실험 데이터,Jar-Test,lab_analysis,water_quality,K-water (수질안전처),field_collection,Not in source,수지정수장 원수 (실험실 테스트),lab-scale,08 (폭우 기간),event-based,"응집제 주입률(30~55ppm), 온도별, pH별 다수 실험군",model simulation,"Jar-Tester, 고염기도 응집제(Hib-PAHCS), 중염기도 응집제(A-PAC)",Experimental log,"탁도 제거율, 잔류 알루미늄 농도, pH, 온도, 응집제 주입률","폭우 시 고탁도 유입에 따른 최적 응집제 종류 및 운영 조건(온도, pH)별 알루미늄 잔류 특성 분석",internal_only,8월 기록적 폭우에 따른 수지정수장 현장 여건을 반영한 실험,39
Jangseong Pump Station Uninterruptible Power Monitoring System Log,장성 가압장 전력 모니터링 시스템 이력 데이터,PMS Log,DB_system,Electricity logs,K-water (전남북부권지사),internal_DB,장성 가압장 PMS (Power Management System),장성 가압장 (Jangseong Pump Station),point measurement,2020.03.12 - 2020.03.18,event-based,Not in source,automatic sensor,"PMS Monitoring Program, HCTTS Board, PCS, BMS",Log display (GUI),"Grid voltage/current, Generator status, PCS operation mode, Battery SOC/voltage/temperature, Event timestamps","무정전 시스템의 동작 시퀀스 검증 및 현장 시운전 결과 분석(정전 감지 시간, 전압 변동율 등)을 위해 사용됨",internal_only,실제 정전 발생 상황 및 복전 시의 시스템 계측 데이터를 포함함,40
Climate Change Scenario Data (APEC Climate Center),기후변화 시나리오 데이터 (APEC 기후센터),GCM/RCP,model_output,meteorological,APEC 기후센터 (APCC),other,APEC 기후센터,주암댐 및 합천댐 유역,1km grid (downscaled),2011–2099,daily,26 scenarios (13 GCMs × 2 RCPs),model simulation,"GCMs (INM-CM4, CMCC-CMS, etc.)",Not in source,"강수량, 기온 등 기상 변수",미래 유입량 전망 및 극한 가뭄 시나리오 구축을 위한 HSPF 모형의 입력 자료,restricted,기후변화 대비 수자원 적응기술 개발 연구단 연구 성과 연계,41
KMA Weather Data Service,기상자료개방포털,KMA data,meteorological,rainfall,기상청,public_portal,https://data.kma.go.kr/,울산광역시,point measurement (ASOS),2014–2023,"hourly, monthly, yearly",10 years of historical data,automatic sensor,ASOS (Automated Surface Observing System),Not in source,"기온, 강수량, 습도, 일조시간, 적설, 풍속",대상 지역의 과거 강우 사상 분석 및 계획 홍수량 산정을 위한 기초 기상 자료로 활용,open,울산 관측소(ASOS) 자료 활용,42
SCADA System Data,SCADA 데이터,SCADA,DB_system,hydrological,K-water,internal_DB,수운영시스템,수도권 광역상수도 (8개 구역 등),지점 계측 (Point measurement),2023–2025,1~5분 주기,"유량계, 압력계, 수위계 등 다수",automatic sensor,"유량계, 압력계, 수위계, 전동밸브",Not in source,"유량, 수압, 펌프 상태, 밸브 개도율","실시간 수리해석 모델 동기화, 이상감지 시스템(유량수지 및 손실수두 분석) 구축 및 현장 테스트 검증용",internal_only,K-water 광역상수도 운영의 핵심 실시간 데이터,21
Real-time Water Information System,실시간 급수정보시스템,RWIS,DB_system,hydrological,K-water,internal_DB,rwis.kwater.or.kr,"전국 (팔당권, 한강유역 등)",지점 계측,Not in source,분 단위,전국 관망 센서 태그 데이터,automatic sensor,RWIS 웹 인터페이스,"Excel, CSV","순시 유량, 적산 유량, 수압, 수질 인자",하이브리드 수질 예측 모델 연계 및 이상감지용 유량 자료 수집,internal_only,K-water 내부 운영 및 분석을 위한 상하수도 정보 시스템,"21, 22"
Sentinel-1 SAR Imagery,Sentinel-1 SAR 영상 자료,Sentinel-1,remote_sensing,satellite imagery,European Space Agency (ESA),public_portal,Google Earth Engine (GEE),"Geumgwang, Madun, Neopdo Reservoirs",10 m,2015–2023,6-day (orbit dependent),Not in source,satellite,C-band Synthetic Aperture Radar,GeoTIFF,"Backscatter coefficient (dB), VV polarization","KI, CV, CL 기법을 적용한 수체 분석 및 저수량 예측 모델 개발에 활용",open,GEE를 통해 전처리된 GRD product 수집 및 Refined Lee 필터링 적용,43
Sentinel-2 Optical Imagery,Sentinel-2 광학 위성영상,Sentinel-2,remote_sensing,satellite imagery,European Space Agency (ESA),public_portal,Copernicus Open Access Hub (via QGIS SCP Plugin),"Geumgwang, Madun Reservoirs","10 m, 20 m, 60 m",2015–2020,5-day,86 images (Madun/Geumgwang),satellite,Multi-Spectral Instrument (MSI),Not in source,"Reflectance (B2, B3, B4, B8, B11, B12 etc.)","NDWI, MNDWI 산출 및 DeepLab V3+ 모델을 이용한 수체 분류 학습 데이터셋 구축",open,Level-2A (지형/대기보정 완료) 상 활용,43
Meteorological Observation Data,기상 관측 자료,KMA data,meteorological,rainfall,Korea Meteorological Administration (KMA),public_portal,Meteorological Data Open Portal (data.kma.go.kr),National (60 stations),point measurement,1973–2020,daily,60 stations,automatic sensor,ASOS / T/M,Not in source,"Rainfall, Avg/Max/Min Temperature, Wind speed, Humidity",한반도 기후 변화 추세 분석 및 수문 모델의 입력 기상 자료로 활용,open,역거리 가중법(IDW)을 통한 결측치 보완 수행,44
Water Environment Information System (WEIS),물환경정보시스템,WEIS,DB_system,water_quality,국립환경과학원,public_portal,http://water.nier.go.kr,"금강 수계 (이원, 지천2, 용포 측정소), 용담호 유역",Point measurement,"2002–2018 (용담), 2023–2024 (금강)",monthly,Not in source,automatic_sensor/manual_sampling,휴대용 수질측정기 등,CSV/Digital data,"pH, DO, 전기전도도(CON), BOD, COD, SS, T-N, T-P, TOC, Chl-a",복원대상지의 이화학적 서식환경 분석 및 용담 유역 수질 현황 분석,open,국가 수질측정망 자료 활용,"45, 46"
Water Information Portal (MyWater),물정보포털,MyWater,DB_system,hydrological,K-water (한국수자원공사),public_portal,https://www.water.or.kr,용담댐 유역,Point measurement,2002–2018,daily/monthly,17 years of data,automatic_sensor,Not in source,Digital data,"강수량, 유입량, 방류량","용담 유역 기상 및 수문 현황 분석, 물수지 분석",open,용담 관측소 자료 활용,46
Lake Soyang Endangered Fish Habitat Survey Data,소양호 멸종위기종 서식환경 조사 데이터,Not in source,field_measurement,biological,K-water (한국수자원공사),field_collection,Not in source,소양호 (댐체 ~ 양구대교),12개 지점 (정밀조사 5개소),2024.01 - 2024.08,1회성 및 정기적(수질 등),귀이빨대칭이 538개체 채집 및 분석,"수중 ROV 조사, 스쿠버다이빙, 수심계, 채집","수중 ROV, 수온로거, 스쿠버 장비",DB,"각장, 각고, 각폭, 전중, 서식수심, 하상구조, 수온, DO, pH, EC, 탁도","소양호 내 귀이빨대칭이의 서식 실태 파악 및 통합 DB 구축, 보존관리방안 수립의 기초자료로 활용",internal_only,한강수계 최초 서식 확인에 따른 생태 특성 연구 데이터임,23
Smart Water Management (SWM) Real-time Data,스마트 물관리(SWM) 실시간 데이터,SWM,field_measurement,hydrological,K-water (지방상수도 운영 지자체),internal_DB,Not in source,지방상수도 소블록(Test-bed),"지점별 (스마트미터, 무선압력센서)",2022,실시간 (Real-time),소블록 유입점 및 대수용가 데이터,자동 센서(Automatic sensor),"스마트 미터, 무선 압력계",Not in source,"유량, 압력",머신러닝 기반의 관 파손사고 감지 및 누수관리 시스템 개발을 위한 학습 및 검증 데이터로 사용,internal_only,야간최소유량 분석의 한계 극복을 위한 실시간 데이터 분석 기술 적용,23
Water Environment Information System,물환경정보시스템,WEIS,DB_system,water_quality,환경부 (Ministry of Environment),public_portal,https://water.nier.go.kr,National (전국),국가수질측정망 지점별,Past to present (과거~현재),"Weekly, Monthly",전국 주요 하천 및 호소 수질 데이터,Manual/Automatic sampling,Not in source,Not in source,"BOD, T-P, TOC, SS, Chl-a, DO, pH, 수온","낙동강 수계 수질 개선 방안 연구, 옥정호 녹조 원인 분석, 댐-보 연결하천 수질모형 구축 등에 활용",open,환경부 국립환경과학원에서 관리하는 국가 수질 데이터베이스,23
National Groundwater Usage Monitoring Data,국가 지하수 이용실태조사 데이터,Not in source,hydrological,groundwater,환경부 (국가지하수정보센터),public_portal,https://www.gims.go.kr,National (전국),"6,295개 관측 사이트",2006 - 2024,"Daily, Monthly","6,295개 지점 모니터링 DB",Automatic/Manual observation,Not in source,Database,"지하수 이용량, 용도별 사용량, 수위",지하수 이용량 산정 영향인자 도출 및 예측 모델 고도화 연구에 활용,open,지하수법에 근거한 국가 지하수 통계자료임,23
New Facility Diagnostic Manual Data,신규설비 진단 기초자료,Not in source,field_measurement,water_treatment_facility,"K-water (청주, 성남, 보령, 반월정수장 등)",field_collection,현장 정밀 진단,"보령(정) 태양광, 청주(정) 수열·차염, 성남(정) 오존 등",설비 유닛 단위,2022–2023 (진단 수행 기간),event-based (시범진단),"4종 신규설비 (차염, 오존, 태양광, 수열)","manual sampling, instruments","전력품질분석기(HIOKI 9624), 초음파 유량계, 노점계, 산소농도계, I-V 커브 트레이서",Not in source,"ORP, 수소농도, 정류기 효율, 고조파, 시스템 COP, 히트펌프 COP, PR (Performance Ratio), 절연저항",신규 도입 설비의 에너지 진단 기법 정립 및 평가 기준 수립을 위한 실측 데이터로 활용,internal_only,제조사 자문 및 운영자 인터뷰 내용을 포함함,1
Local Public Enterprise Management Evaluation Data,지방공기업 경영평가 데이터,Not in source,administrative,administrative,Ministry of the Interior and Safety (행정안전부),public_portal,Local Public Enterprise Evaluation Research Institute (지방공기업평가원),National (122 local water enterprises),Local government enterprise level,Annual,annual,122 enterprises,manual reporting and evaluation,Not in source,DB_system,"Leadership, strategic planning, management systems, business performance, social value",Used to establish performance indicators for water management integration.,open,Conducted every other year for waterworks sector.,24
National Demographic Statistics,장래인구특별추계,Not in source,administrative,administrative,Statistics Korea (통계청),public_portal,KOSIS,National,Local government unit,2017-2067,One-time projection,50-year projection,survey,Population Projection Model,Not in source,"Population growth rate, birth/death counts, aging index",Used to project future revenue water volume and management risks.,open,Projected population peak in 2028.,24
Water Pipe Leakage and Accident Database,수도 사고복구 대장,Not in source,field_measurement,hydrological,Local Waterworks Authorities / K-water,internal_DB,Not in source,Specific local sites,Pipe segment level (GIS Sta),2013-2017,event-based,"Over 20,000 cases annually",field_measurement,"GIS, Acoustic leak detectors",Ledger/CSV,"Leak location, pipe age, repair cost, interruption time, affected population",Used to estimate repair costs and justify facility modernization.,restricted,Crucial for asset management modeling.,24
Automatic Fish Monitoring System Data in Fishways,어도 내 어류 자동 모니터링 설비 분석 자료,Not in source,field_measurement,ecology,K-water (한국수자원공단),internal_DB,낙동강하굿둑 좌안 및 우안 어도 내 설비,"낙동강하굿둑 좌안 어도, 우안 어도",point measurement,2024,event-based (영상 감지 시 자동 기록),Not in source,automatic sensor (영상 장비),어도 내 어류 자동 모니터링 설비,"Video, Image (어류 사진, 실루엣, 동영상)","어종, 전장(체장), 이동방향, 통과 개체수",수문 개방 및 어도 운영에 따른 어류 이동 특성 분석 및 소상 효율 평가,internal_only,영상 분석을 통해 어류의 생태적 데이터를 자동 추출함,47
K-water Watershed Model (HSPF),K-water 보유 유역모형 (HSPF),HSPF,model_output,hydrological,K-water,internal_DB,Not in source,"소양강, 임하, 충주, 안동, 용담, 대청, 합천, 영주댐 유역",소유역 단위 (Sub-basin),2020년 및 미래 기후변화 시나리오 기간,Daily or Hourly (inferred),8개 댐 유역 대상,model simulation,HSPF (Hydrological Simulation Program - Fortran),Not in source,"유량, 부유물질 (SS), 토사유실량","댐 유역의 유출량 및 탁수 발생 모의, 기존 탁수 저감대책의 유역별 효과 평가",internal_only,K-water 보유 모형 기반 입력자료 구축,25
Meteorological Data Open Portal,기상자료개방포털,KMA Data,meteorological,rainfall,기상청 (KMA),public_portal,https://data.kma.go.kr,National,Point measurement (ASOS/AWS),Past records to 2020,Hourly/Daily,댐 유역 인접 기상관측소,automatic sensor,Not in source,Not in source,"강우량, 기온, 습도, 풍속, 일사량",유역 및 저수지 모형의 기상 입력자료(AEM3D 기상데이터) 구축,open,과거 극한 강우 사상 선정 및 2020년 수문 현황 분석에 활용,25
Climate Information Portal Climate Change Scenarios,기상청 기후정보포털 기후변화 시나리오,RCP Scenario,model_output,meteorological,기상청 (KMA),public_portal,http://www.climate.go.kr,National (Watershed scale),Not in source,Future (up to 2100),Not in source,RCP 4.5 / 8.5 scenarios,model simulation,IPCC 5차 평가보고서 시나리오,NetCDF/CSV (inferred),"미래 강우량, 강우강도, 지속시간",기후변화에 따른 미래 극한 강우 사상 선정 및 탁수 발생 예측,open,IPCC RCP 기후변화 시나리오 데이터 활용,25
Land Cover Map,토지피복도,Land Cover,geospatial,GIS,환경부 (EGIS),public_portal,Not in source,댐 유역 전역,Not in source,2000년대 ~ 2020년,Periodical,GIS DB,remote_sensing,Satellite imagery,GIS Shapefile,"토지이용 현황 (논, 밭, 산림, 대지 등)",유역 모형의 토지이용 변화 반영 및 토사유실량 산정,open,2000년대와 현재의 토지이용 변화 비교에 활용,25
Water Quality Monitoring Network Data,수질측정망 데이터,Water Quality Data,field_measurement,water_quality,환경부/K-water,public_portal,물환경정보시스템 (inferred),댐 유역 내 주요 지점 및 저수지 내,Point measurement,2000년대 ~ 2020년,Weekly/Monthly/Event-based,댐별 수질측정망 위치도 참조,manual sampling/automatic sensor,Not in source,Not in source,"BOD, COD, SS, T-N, T-P, 탁도 (NTU)","유역 및 저수지 수질 현황 조사, 모형의 검보정(SS 및 탁도 자료)",open,SS와 탁도 간의 관계식 산정 및 수질 개선 효과 분석에 필수 데이터,25
Alaska Satellite Facility DEM,ASF 수치표고모형,ASF DEM,remote_sensing,geospatial,Alaska Satellite Facility (ASF),public_portal,ASF,만대지구 전역,12.5 m,Not in source,one-time,Grid data,satellite,Not in source,GIS Raster,Elevation (표고),"만대지구 지형 특성(표고, 경사도) 분석 및 SWAT 모델 입력",open,접경지역 수치지형도 부재로 국외 위성자료 활용,26
National Spatial Information Portal Cadastral Map,국가공간정보포털 연속지적도,Not in source,DB_system,GIS,국토교통부,public_portal,국가공간정보포털,만대지구,필지 단위,2017–2022,yearly,"2,808개 지번",administrative,Not in source,GIS shapefile,"지목(전, 답, 대지, 임야 등), 토지소유구분",토지이용현황 변화 분석 및 사업대상지 토지소유 현황 파악,open,연도별 지목별 면적 변화 및 국유지 비율 분석에 사용,26
Highland Cropland GIS,고랭지 밭 지리정보시스템,Not in source,geospatial,GIS,환경부,internal_DB,Not in source,만대지구 경작지,필지 단위,2017–2022,yearly,경작지 경계 자료,satellite,"항공정사영상, 위성영상, 디지타이징",GIS shapefile,"경작지 면적, 고랭지 경작지 구분",연도별 고랭지 경작지 현황 분석 및 SWAT 모델 입력,internal_only,"해발 400m 이상, 경사 15% 이상을 고랭지 밭으로 정의",26
Water Environment Information System,물환경정보시스템,WEIS,DB_system,water_quality,Ministry of Environment (환경부),public_portal,물환경정보시스템 (link),Gohyeoncheon Stream (고현천 수계),Station-scale,2013-2019,Not in source,"3 stations (Bongrimgyo A1, Osangyo B6, Yeongbukgyo A2)",automatic/manual monitoring network,Biological monitoring network,Not in source,"Trophic Diatom Index (TDI), Benthic Macroinvertebrate Index (BMI), Fish Assessment Index (FAI), RVI, HRI",Past water quality and ecosystem health status review for Gohyeoncheon stream.,open,Used as reference data for comparative analysis with current field surveys.,48
River Terrain Data,하천 지형 자료,GIS Data,geospatial,GIS,환경부/K-water,internal_DB,Not in source,"섬진강, 금강, 한강, 낙동강 유역",Cross-sectional data,최신,one-time,주요 지점 및 제약 지점 포함,field measurement / survey,Not in source,GIS shapefile / HEC-RAS geometric data,"하천 단면, 표고, 제방 현황",하류하천 수치해석 모형(HEC-RAS) 구축의 공간적 입력 자료,internal_only,최신 하천 지형자료를 이용해 과거~현재 수치해석 모형 구축,2
National Fishway Information System,국가어도정보시스템,NFIS,DB_system,ecology,한국농어촌공사/환경부,public_portal,국가어도정보시스템 (link),전국 하천,Point (Structure scale),2020 기준,One-time (status update),"전국 33,914개 구조물 정보",survey,Not in source,Not in source,"어도 설치 현황, 평가등급(양호, 미흡, 불량), 보 높이, 형식",영산강 및 섬진강 유역의 종적 연속성 저해 요인 분석 및 개보수 대상지 선정,open,"어도 개보수 필요율 산정(영산강 77.3%, 섬진강 77.9%)",4
River Network Survey Report,하천유역조사 보고서,,literature,hydrological,환경부 (한강홍수통제소),literature_cited,,전국 (영산강·섬진강·제주권 포함),Watershed level,2019,Annual,Not in source,statistical collation,Not in source,PDF,"유역면적, 하천연장, 인구변화, 토지이용현황, 물 이용량",연구 대상 지역의 일반 현황 및 인문 현황 분석을 위한 기초 통계자료,open,2019년 하천유역조사 보고서 인용,4
Emergency Events Database,국제 재난 데이터베이스,EM-DAT,DB_system,natural_disasters,Center for Research on the Epidemiology of Disasters (CRED),public_portal,https://www.emdat.be/,global,national_scale,2000-2020,event-based,389 disasters in 2020,other,Not in source,Not in source,"사망자 수, 영향을 받은 인원, 경제적 손실액, 재난 유형(홍수, 폭풍, 가뭄 등)",2020년 전 세계 기후 관련 재난 현황 및 피해 규모를 분석하기 위한 기초 통계 자료로 활용됨,open,벨기에 루뱅 대학의 재난역학연구센터(CRED)에서 관리하는 공신력 있는 재난 DB임,49
Social Network Analysis Data,조직 내 협력 네트워크 분석 데이터,SNA_Data,field_measurement,organizational_structure,K-water (한국수자원공사),field_collection,Not in source,K-water 본사,department_scale,"2021-2022 (1, 2차년도)",event-based,본부 및 부처 간 연결망,questionnaire,SNA(Social Network Analysis) 도구,Not in source,"내향연결(in-degree), 외향연결(out-degree), 밀도, 집중도, 중심성",본부 및 부처 간 정보 공유 및 협력 구조를 탐색하여 기후위기 대응 체계를 진단함,internal_only,조직 내 거버넌스 강화를 위한 기초 진단 데이터,49
Automatic River Discharge Measurement Station Data (Cheoncheon Site),하천자동유량측정장치 수문자료 (천천지점),OTT SVR 100,field_measurement,streamflow,K-water,field_collection,Not in source,"Yongdam Dam Watershed, Cheoncheon Site (Yeonhwa Bridge)",Point measurement (10 stations/sensors across bridge),,event-based (20:30 measurement referenced),10 velocimeter sensors,automatic sensor,OTT SVR 100 (Microwave Radar),Not in source,"Surface velocity, water level, cross-sectional area, discharge",Used as real-world hydrology data to calculate and verify the uncertainty of discharge measurements for automatic facilities.,internal_only,Pilot operation site for IoT-based automatic river discharge measurement platform.,50
ISO 748:2007 International Standard,국제기준 ISO 748:2007 (KS B ISO 748),ISO 748,literature,hydrological,ISO / Korean Agency for Technology and Standards,literature_cited,Not in source,International / National,Standardized guidelines,2007 (Revised 2021),Static standard,Tables E.1 to E.6 for uncertainty percentages,manual sampling,Not in source,Published standard,"Uncertainty of width, depth, velocity, and discharge",Served as the primary technical framework for assessing discharge measurement uncertainty.,open,Replaced the ISO 748 (1997) version.,50
National Waterworks Information System,국가상수도정보시스템,Not in source,DB_system,"시설운영관리정보, 상수원관리정보",K-water (국가수도정보센터),internal_DB,https://www.waternow.go.kr (implied),national,facility-scale,2008–2022,real-time or periodic,전국 취수/정수/배수 시설 상세 정보,automatic_sensor and manual_input,Not in source,DB,"시설 제원, 가동 상태, 생산량, 유입량 등",상수도통계 입력 시스템 개선 및 데이터 연계 방안 검토에 참조,internal_only,수도사업자가 통계 기초자료를 직접 입력하는 시스템,27
Local Public Enterprise Settlement Report,지방공기업 결산보고서,Not in source,administrative,finance,행정안전부 (Ministry of the Interior and Safety),public_portal,지방공공기관 경영정보공개시스템 (클린아이),national (122개 상수도 지방공기업),municipal-scale,Not in source,annual,"재무제표, 예산결산보고서 등 다수 서류",administrative_reporting,통합결산시스템,PDF,"수익, 비용, 자산, 부채, 자본, 세입/세출, 경영분석지표",상수도통계 경영분야 항목의 정확성 검증 및 일치성 분석을 위한 비교 데이터로 활용,open,지방공기업법에 따른 회계감사 및 결산 승인 절차를 거친 데이터,27
Water Resources Management Information System,국가수자원관리종합정보시스템,WAMIS,DB_system,water level,환경부/K-water,public_portal,http://www.wamis.go.kr,전국 (취수장 인근 하천 상·하류),point measurement,2002–2019,daily/hourly,21개 취수장 인근 수위관측소,automatic sensor,Not in source,Not in source,하천수위,취수장 인근 하천수위-지하수위 상관성 분석 및 미계측 유역 시범지역 선정을 위한 기초자료,open,"유천, 송탄 등 7개 예비후보군 취수장의 가뭄 상관성 분석에 활용",6
Pilot Station Measurement Data,시범지역(청산취수장) 직접 계측 자료,Not in source,field_measurement,"water level, water temperature",K-water,field_collection,청산취수장 시범유역,충북 옥천군 청산취수장 (보청천),point measurement (3개 관측정),2020.12.12–2020.12.16 (초기 관측),5-min/10-min,"복류수, 지하수, 하천수위 관측정 각 1개소",automatic sensor,"Solinst Levelogger, 수동수위측정기, RTK 측량장비",Not in source,"수위, 수온, 대기압",미계측 하천 취수지점의 가뭄 모니터링 체계 검증 및 수위-수온 특성 분석,internal_only,연구 목적의 시범 설치 데이터로 K-water에서 직접 수집 및 관리,6
Water Pollution Total Load Management Monitoring,수질오염총량측정망,Not in source,hydrological,streamflow_and_quality,Ministry of Environment,public_portal,물환경정보시스템 (link),"Churyeong A, Seombon A, Seombon B",reach-scale,2019-2023,weekly,3 points,field_measurement,flow_meter,Not in source,"flow rate, water temperature, DO, BOD, COD, SS, T-N, T-P, TOC",Input and calibration data for the HSPF watershed model.,open,Critical for calculating pollutant delivery loads.,28
Pollution Source Inventory (2022),전국오염원조사 자료(2022),WEMS,administrative,pollutant_load,National Institute of Environmental Research / Local Governments,internal_DB,물환경관리시스템 (WEMS),"Seomjingang Dam Watershed (Jeongeup, Imsil, Sunchang, Jinan)",administrative_district,2022,annual,"Population, livestock count, industrial wastewater volume",survey,Not in source,Not in source,"Human population, livestock heads, land use area, wastewater discharge",Calculation of pollutant generation and discharge loads in the watershed.,restricted,Baseline data for the 2022 pollutant load analysis.,8
Reservoir Internal Water Quality Field Survey,호소 내 수질조사 및 분석,Not in source,field_measurement,biological,K-water (contracted to ET Water),field_collection,Not in source,"6 points (Bung-eo Island, Unam Bridge, Intake, Dam front)",point_measurement,2023.11 - 2024.12,weekly/bi-weekly,17 survey rounds,manual_sampling,"Water sampler, microscope",Report,"cyanobacteria cell count, Microcystin, general water quality",Analyzing the direct cause of algal blooms and validating the AEM3D model.,internal_only,Primary data collected specifically for this research project.,28
Asan Water Environment Center RO Model Plant Operation Data,아산 신도시 물환경 센터 RO 모형 플랜트 운영 데이터,Not in source,field_measurement,water quality/hydrological,K-water (Asan Water Environment Center),field_collection,Asan New City Water Environment Center,Asan New City Water Environment Center,point measurement,2020.11.02–2020.12.22,daily,approx. 50 days of data,automatic sensor and manual sampling,"PLC&HMI monitoring system, Digital Titrator (HACH), 2100Q is",Not in source,"pH, temperature, TDS, inlet pressure, flow rate, flux, recovery rate, conductivity",Used to analyze membrane fouling effects and concentrate properties by recovery rate for optimization of reuse facilities.,internal_only,Verified production water TDS (average 5.37 mg/L) and 15% reduction in normalized permeate flow.,51
UN SDGs Database,UN 지속가능발전목표 데이터베이스,UN SDGs,administrative,ecology,United Nations,public_portal,Not in source,global,national level,2016–2030,Annual,"17 goals, 169 targets",administrative reporting,Indicator tracking,Not in source,"SDG 6 (Clean water), SDG 12, SDG 17",Used to align the water certification program with international development targets.,open,Framework for international development cooperation.,29
Apartment Electricity Usage Data,분석대상 아파트 전력사용 데이터,Not in source,administrative,other,신동백 롯데캐슬 에코아파트,other,Not in source,용인시 (신동백 롯데캐슬 에코아파트),apartment complex scale,2021,monthly,"약 2,000세대 규모",automatic sensor,전력량계,Table,"피크전력, 총사용량, 세대 사용량, 공동설비 사용량, 전기요금","마이크로 수력발전 도입 시의 전기요금 절감 효과 및 경제성 분석(B/C, NPV)을 위한 기초 자료로 활용",restricted,하계 요금제 기준 월단위 데이터 분석에 활용,9
