data_name,data_name_kr,acronym,dtype,category,org,access,spatial,temporal,temporal_res,volume,instruments,params,fmt,usage,availability,notes,freq,reuse,priority,report_list
Water Statistics,상수도통계,N/A,administrative,"상수도 보급현황, 시설물 현황, 요금, 재정",환경부 (Ministry of Environment),public_portal,national,1975–2021,annual,"약 800~1,900개 항목",국가상수도정보시스템,"인구현황, 시설현황, 수량관리, 물손실관리, 경영성, 직원현황 등","Excel, PDF",상수도통계의 정확성 및 신뢰성 진단과 활용성 강화 방안 도출을 위한 기초 자료로 사용,open,통계법 제17조에 따른 지정통계 (승인번호 196006),1,Low,Optional,상수도통계 개선 및 활용성 강화방안 연구_2023.02.13_상수도통계 개선 및 활용성 강화방안 연구.pdf.pdf
National Groundwater Monitoring Network,국가지하수관측망 자료,GWL,hydrological,groundwater level,환경부 (국가지하수정보센터),public_portal,전국 (412개 관측소),2000–2017,daily,최종 선정된 30개 관측소 자료 활용,자동수위관측장비,지하수위,Not in source,"하천-지하수위 융합형 가뭄지수 개발, HMM 기법을 적용한 가뭄 범주화 및 LSTM 예측 모형 구축",open,충적대수층 관측정 자료를 우선적으로 선택하여 분석에 활용,1,Low,Optional,미계측 하천 취수지점의 가뭄판단 및 예측을 위한 분석체계 구축_2021.02.08_하천수 취수지점의 가뭄평가.pdf.pdf
ESA CCI Soil Moisture,ESA CCI 토양수분 자료,ESA CCI SM,remote_sensing,soil moisture,ESA (European Space Agency),public_portal,용담댐 유역,2007–2016,daily,Not in source,Active/Passive combined microwave,Volumetric soil moisture,NetCDF (Inferred),Machine Learning(LSSVM) 기술을 활용한 Hybrid 강우-유출 모형 개발의 입력 자료,open,다양한 위성 센서 데이터를 결합하여 전 지구적 시계열 자료 제공,1,Low,Optional,수자원분야 위성영상 활용 기술개발_2021.02.08_수자원분야 위성영상 활용기술.pdf.pdf
ERA-Interim Soil Moisture,ERA-Interim 토양수분 데이터,ERA-Interim,hydrological,soil moisture,ECMWF,public_portal,남한 전역 (55개 지점 추출),1987–2016 (30년간),monthly,Not in source,Data Assimilation System,Soil Water Content,GRIB/NetCDF (Inferred),표준토양수분지수(SSI) 산정 및 다변량 가뭄지수(MSDI) 개발,open,Reanalysis 기반 자료로 기상학적 가뭄과 농업적 가뭄의 상관관계 분석에 활용,1,Low,Optional,수자원분야 위성영상 활용 기술개발_2021.02.08_수자원분야 위성영상 활용기술.pdf.pdf
AWC Water Project Database,AWC 워터프로젝트 추진 현황,AWC WP,DB_system,other,Asia Water Council (AWC),internal_DB,"Asia (Vietnam, Mongolia, Thailand, Cambodia, Indonesia, Nepal, Laos)",2016 - 2020,event-based,Multiple projects,Not in source,"Smart water management, IWRM, water disaster systems",Database,Case analysis for building cooperation framework with AAWC.,internal_only,Managed by K-water as the AWC secretariat.,1,Low,Optional,"실질적 아시아 물 문제 해결을 위하나 입법,정책적 접근방안 연구_2021.02.05_실질적 아시아 물문제 해결.pdf.pdf"
UNESCO Seal of Excellence Assessment Tool-kit,유네스코 도시 물관리 우수인증 평가툴,Seal Assessment Tool-kit,field_measurement,water_quality,K-water,internal_DB,"Pilot cities (Seoul, Daegu)",2022–2023 (Pilot phase),"Quarterly (quantitative), Annual (qualitative)",Max 100 sampling points per city,ISO certified laboratory analysis,"pH, turbidity, residual chlorine, E. coli, THMs, heavy metals","CSV, Report Form",Used to assess and certify urban water management safety and operational efficiency in pilot cities.,internal_only,Developed by K-water as technical advisor for the UNESCO project.,1,Low,Optional,UNESCO 도시 물관리 우수인증제도 시범사업 추진 및 발전방안 연구_2023.02.13_UNESCO 도시 물관리 우수인증제도 시범사업 추진 및 발전방안 연구.pdf.pdf
Arisu Water Quality Monitoring Data,아리수 수질 모니터링 데이터,Digital Arisu ON,field_measurement,water_quality,Seoul Metropolitan Government,other,Seoul,Not in source,Daily/Real-time,Seoul-wide WTPs and network,Digital Arisu ON dashboard,"Turbidity, residual chlorine, pH",Digital dashboard,Referenced during pilot project implementation in Seoul.,restricted,Internal monitoring system for Seoul's water supply.,1,Low,Optional,UNESCO 도시 물관리 우수인증제도 시범사업 추진 및 발전방안 연구_2023.02.13_UNESCO 도시 물관리 우수인증제도 시범사업 추진 및 발전방안 연구.pdf.pdf
Agricultural Water Source Monitoring Data,벼재배 물관리 및 유기물 시용 현황 데이터,N/A,field_measurement,농업 수문,"농림축산식품부, 통계청",literature_cited,전국 농경지,2019–2020,연간,전국 벼재배 면적 통계,설문 및 행정 기록,"벼재배면적, 물관리 형태(상시담수, 중간낙수), 유기물 시용량(녹비작물, 볏짚)",Excel/PDF,농업 부문 메탄(CH4) 배출량 산정을 위한 보정계수 적용에 사용,open,국가 통계 가공 데이터,1,Low,Optional,도시물순환 수문요소 탄소저감 평가 기술 개발_2024.02.13_도시물순환 수문요소 탄소저감 평가 기술 개발.pdf.pdf
Nakdong Estuary Bolboschoenus planiculmis Sprouting Study,낙동강하구 새섬매자기 종자 발아 연구 데이터,Nakdong-Sedge,field_measurement,생태,경남대학교 (K-water 용역),field_collection,낙동강 하구 을숙도,2023.03–2023.10,일주일 간격,포트별 생육 데이터,"전자저울, 측정 자, 진탕기, 배양기","출아율, 길이 성장, 밀도, 개화율, 결실 시기, 괴경 무게, 발아율(%)",Paper form/Excel,새섬매자기의 대량 복원을 위한 종자 발아 특성 및 최적 발아 환경 구명,internal_only,K-water 부산권지사 용역 결과로 생성된 고유 데이터,1,Low,Optional,낙동강하구 새섬매자기 종자 발아 연구_2024.02.13_낙동강하구 새섬매자기 종자 발아 연구.pdf.pdf
Rural Water Resources Information System (RIMS),농업용수종합정보시스템 (RIMS),RIMS,DB_system,hydrological,Korea Rural Community Corporation (한국농어촌공사),public_portal,national (agricultural reservoirs),2011–2019,daily,"선암, 대화, 금평, 당월 저수지 등",reservoir water level gauge,"저수지 수위, 저수량, 유입량",digital,농업용 저수지별 실제 공급량 분석 및 유입량 변동성 개선 방법 검증,open,선암 저수지의 수위-저수량 곡선 및 공급량 자료 활용,1,Low,Optional,농업용수 산정방법 개선을 통한 효율적 활용 방안 연구_2021.02.10_농업용수 산정방법 개선.pdf.pdf
Field verification monitoring data of Judeok Weir,주덕보 현장 실증실험 모니터링 데이터,PiTTA,field_measurement,hydrological,Korea National University of Transportation,field_collection,충청북도 충주시 주덕읍 제내리 557-23 (주덕보),2022.09.20 – 2023.04.20 (Study period),"event-based (flood season 4 times, dry season 3 times)","Injection well 1 unit, Observation wells 2 units","YSI-600OMS V2, YSI-6130 sensor, TD-Diver (water level gauge)","Rhodamine WT concentration, water level, water temperature",TimeSeries data,추적자(로다민)를 활용하여 보 구조물 하부의 파이핑 현상 발생 여부를 직접 검증하고 침투 유속 및 레이놀즈 수 분석에 활용,internal_only,K-water 연구용역의 일환으로 수행된 현장 실증 실험 데이터임,1,Low,Optional,다기능보 수중구조물 안전성 평가를 위한 모니터링 Tool 도입 및 현장실증실험_2024.02.13_다기능보 수중구조물 안전성 평가를 위한 모니터링 Tool 도입 및 현장실증실험.pdf.pdf
Synoptic Meteorological Observation Data (ASOS),종관기상관측(ASOS) 및 방재기상관측(AWS) 자료,"ASOS, AWS",meteorological,rainfall,기상청 (KMA),public_portal,national,2001–2021,monthly,Not in source,종관기상관측장비,"평균기온, 월 합 강수량, 평균 상대습도, 일조시간, 평균 지면 온도, 평균풍속, 평균기압","CSV, Open-API",물수요 영향변수 중 계절성 인자 데이터 구축 및 상관성 분석,open,전국 단위의 수문 기상학적 기초 자료로 활용,1,Low,Optional,국가 물수급 분석 고도화를 위한 생공용수 수요패턴 및 하천 물순환 분석기술_2024.02.13_국가 물수급 분석 고도화를 위한 생공용수 수요패턴 및 하천 물순환 분석기술.pdf.pdf
Microbial Community Analysis Data (NGS),미생물 군집 분석 데이터 (NGS),NGS,biological,ecology,Macrogen (위탁분석),field_collection,낙동강 하굿둑 내외측 퇴적물,"2023.03, 2023.06",총 2회 조사,Not in source,Illumina MiSeq platform,"미생물 종 조성, 상대적 우점도, 군집 클러스터링",FASTQ/OTU Table,해수 유입에 따른 미생물 군집 변화 및 생태적 연속성 평가,internal_only,황산염 환원균 및 철 환원균 분포 확인,1,Low,Optional,낙동강하구 복원을 위한 생지화학적 특성 규명 및 해석 연구_2024.02.13_낙동강하구 복원을 위한 생지화학적 특성 규명 및 해석 연구.pdf.pdf
Robotic Total Station (TS) Monitoring Data,자동 광파기(TS) 외부변위 계측 데이터,TS,field_measurement,displacement,K-water,internal_DB,K-water 관리 댐 및 시설물,GPS 도입 전~현재,3-hour,기존 댐 외부변위 계측기,자동 광파기 (Robotic Total Station),"외부변위, 침하량",Not in source,GPS변위계 데이터와의 상호연관성 분석 및 연계 방안 제시,internal_only,"기상 여건(안개, 강우 등)에 따른 결측 발생 사례 및 GPS와의 정밀도 비교 분석",1,Low,Optional,실시간 스마트 모니터링 구축에 따른 신·구(新舊) 계측데이터 관리체계 연구_2023.02.13_실시간 스마트 모니터링 구축에 따른 신_구(新_舊) 계측데이터 관리체계 연구.pdf.pdf
Water Level Station Data,수위관측소 데이터,WLS,hydrological,"water level, flow rate",환경부,public_portal,"산성교, 이평교, 대양교 (보청천 유역)",2010–2019,monthly,3 stations,T/M 수위계,"수위, 유량",Not in source,중초천 하류 본류(보청천)의 유량 기록 파악 및 유역 유출 모델의 수문 보정 자료로 활용,open,중초천 유역 내에는 수위관측소가 없으나 인접 보청천 자료를 참조함,1,Low,Optional,대청댐 상류 오염원 저감 및 물환경 개선방안 연구_2021.02.05_대청댐 상류 오염원 저감.pdf.pdf
Fish Habitat Survey Data,어류조사 및 물리서식처 자료,N/A,biological,ecology,Ministry of Environment,public_portal,Downstream of Daecheong Dam (Geum River),2013–2017,Event-based,"B-Geumgang 18, 19, 20 points",Biological Monitoring Network,"Fish species, Individual counts, Endangered species status, Habitat Suitability Index (HSI)",Digital data,Analysis of fish habitat changes according to dam discharge patterns using River2D.,open,Used for environmental ecological flow assessment.,1,Low,Optional,수질을 고려한 대청댐 운영 고도화 방안 시범 연구_2022.02.14_대청댐 운영고도화.pdf.pdf
Digital Transformation Survey,상수도 디지털 전환 설문조사,CVM Survey,survey,consumer perception/WTP,K-water Research Institute / Hanbat National University,field_collection,"14 major cities/provinces in Korea (excluding Busan, Daejeon, Jeju)",Approximately 3 weeks in late 2024,one-time,"1,400 households (700 per group)","Likert scale, Double-bounded dichotomous choice","Willingness to pay (WTP), necessity perception, reliability improvement, expected effects",Not in source,Used for CVM analysis (Spike/Bivariate Probit) to calculate the economic value of digital transformation.,restricted,Conducted by a professional survey agency; split into two groups for different technologies.,1,Low,Optional,상수도 디지털 전환의 경제적 가치 산정 연구_2026.02.10_상수도 디지털 전환의 경제적 가치 산정 연구.pdf.pdf
SGIS (Statistical Geographic Information Service),통계지리정보서비스,SGIS,geospatial,GIS,KOSTAT (Statistics Korea),public_portal,national,2009–2022,annual,Not in source,"API, GIS files (*.shp, *.csv)","population, household, housing, business entities","CSV, SHP",Used for socioeconomic characteristic analysis and DMA (District Metered Area) classification using SOM (Self-Organizing Map).,open,"Includes 100m, 500m, 1km, 10km, 100km resolution options; study primarily used 1km grid for matching with DMA boundaries.",1,Low,Optional,시범도입 단계의 분산된 스마트미터 데이터 분석을 통한 수량관리 고도화 연구_2025.02.10_시범도입 단계의 분산된 스마트미터 데이터 분석을 통한 수량관리 고도화 연구.pdf.pdf
Busan EDC Smart Water Care Data,부산EDC 스마트워터케어 데이터,Busan EDC SWM,field_measurement,water_use,K-water,internal_DB,Busan Eco Delta City (19 Households),2022.06.14–2024.05.08,"hourly (approx. 15,724 records)","55 parameters, 19 households",Faucet-based smart meters,"Total use, Hot water, Sink, Toilet, Shower, Bathtub, Washing machine, Washbasin, Outdoor use",CSV,Used to analyze detailed water usage patterns by component to set base units (LPCD/LPH).,internal_only,High-resolution data allowing analysis of specific use purposes within a household.,1,Low,Optional,시범도입 단계의 분산된 스마트미터 데이터 분석을 통한 수량관리 고도화 연구_2025.02.10_시범도입 단계의 분산된 스마트미터 데이터 분석을 통한 수량관리 고도화 연구.pdf.pdf
Groundwater Usage Monitoring Data (Remote),지하수 이용량 원격 모니터링 자료,N/A,field_measurement,"water level, flow rate",K-water (국가지하수정보센터),internal_DB,National (South Korea),2021–2024,"Hourly, Daily, Monthly","11,104 stations (original), 6,295 sites (analyzed database)","Flow meters (유량계), Remote terminals (단말기)","Cumulative flow (유량계 누적값), Hourly usage, Daily usage, Monthly usage","CSV, DB (Excel-based raw data mentioned)","Main dataset used for factor analysis, outlier detection, and developing usage estimation models.",internal_only,Primary source for the AI Data Lab pipeline construction.,1,Low,Optional,__지하수 이용량 산정 영향인자 도출 및 분석 연구.pdf.pdf
Saeol Administrative System Data,새올행정시스템 지하수 자료,Saeol,administrative,groundwater facility management,Korea Local Information Research & Development Institute (KLID),internal_DB,National (local governments),Continuous,Daily/Event-based reporting,Not in source,Saeol System software,"Facility location, user info, purpose, permit status, usage fee data",DB,Referenced for improving policy/institutional reporting and automated estimation logic.,internal_only,Crucial for synchronizing national statistics with local government records.,1,Low,Optional,__지하수 이용량 산정 영향인자 도출 및 분석 연구.pdf.pdf
High Turbidity Jar-Test Experimental Data,고탁도 유입시 조건별 알루미늄 농도 실험 데이터,Jar-Test,lab_analysis,water_quality,K-water (수질안전처),field_collection,수지정수장 원수 (실험실 테스트),08 (폭우 기간),event-based,"응집제 주입률(30~55ppm), 온도별, pH별 다수 실험군","Jar-Tester, 고염기도 응집제(Hib-PAHCS), 중염기도 응집제(A-PAC)","탁도 제거율, 잔류 알루미늄 농도, pH, 온도, 응집제 주입률",Experimental log,"폭우 시 고탁도 유입에 따른 최적 응집제 종류 및 운영 조건(온도, pH)별 알루미늄 잔류 특성 분석",internal_only,8월 기록적 폭우에 따른 수지정수장 현장 여건을 반영한 실험,1,Low,Optional,상수원 알루미늄 증가원인 규명 및 효과적 관리방안 연구_2021.02.05_상수원 알루미늄.pdf.pdf
Jangseong Pump Station Uninterruptible Power Monitoring System Log,장성 가압장 전력 모니터링 시스템 이력 데이터,PMS Log,DB_system,Electricity logs,K-water (전남북부권지사),internal_DB,장성 가압장 (Jangseong Pump Station),2020.03.12 - 2020.03.18,event-based,Not in source,"PMS Monitoring Program, HCTTS Board, PCS, BMS","Grid voltage/current, Generator status, PCS operation mode, Battery SOC/voltage/temperature, Event timestamps",Log display (GUI),"무정전 시스템의 동작 시퀀스 검증 및 현장 시운전 결과 분석(정전 감지 시간, 전압 변동율 등)을 위해 사용됨",internal_only,실제 정전 발생 상황 및 복전 시의 시스템 계측 데이터를 포함함,1,Low,Optional,ESS와 HCTTS를 활용한 가압장 무정전 전원공급시스템 구축 연구_2021.02.05_ESS와 HCTTS를 활용한 가압장.pdf.pdf
Climate Change Scenario Data (APEC Climate Center),기후변화 시나리오 데이터 (APEC 기후센터),GCM/RCP,model_output,meteorological,APEC 기후센터 (APCC),other,주암댐 및 합천댐 유역,2011–2099,daily,26 scenarios (13 GCMs × 2 RCPs),"GCMs (INM-CM4, CMCC-CMS, etc.)","강수량, 기온 등 기상 변수",Not in source,미래 유입량 전망 및 극한 가뭄 시나리오 구축을 위한 HSPF 모형의 입력 자료,restricted,기후변화 대비 수자원 적응기술 개발 연구단 연구 성과 연계,1,Low,Optional,물공급 예비율 활용을 위한 수질영향 분석 연구_2020.02.27_물공급예비율활용.pdf.pdf
SCADA System Data,SCADA 데이터,SCADA,DB_system,hydrological,K-water,internal_DB,수도권 광역상수도 (8개 구역 등),2023–2025,1~5분 주기,"유량계, 압력계, 수위계 등 다수","유량계, 압력계, 수위계, 전동밸브","유량, 수압, 펌프 상태, 밸브 개도율",Not in source,"실시간 수리해석 모델 동기화, 이상감지 시스템(유량수지 및 손실수두 분석) 구축 및 현장 테스트 검증용",internal_only,K-water 광역상수도 운영의 핵심 실시간 데이터,1,Low,Optional,광역상수도 프로세스 디지털 트윈 시스템 개발(Ⅰ) 취수-정수(alio).pdf
Lake Soyang Endangered Fish Habitat Survey Data,소양호 멸종위기종 서식환경 조사 데이터,N/A,field_measurement,biological,K-water (한국수자원공사),field_collection,소양호 (댐체 ~ 양구대교),2024.01 - 2024.08,1회성 및 정기적(수질 등),귀이빨대칭이 538개체 채집 및 분석,"수중 ROV, 수온로거, 스쿠버 장비","각장, 각고, 각폭, 전중, 서식수심, 하상구조, 수온, DO, pH, EC, 탁도",DB,"소양호 내 귀이빨대칭이의 서식 실태 파악 및 통합 DB 구축, 보존관리방안 수립의 기초자료로 활용",internal_only,한강수계 최초 서식 확인에 따른 생태 특성 연구 데이터임,1,Low,Optional,수자원공사 보고서_2. extracted_metadata.csv
National Groundwater Usage Monitoring Data,국가 지하수 이용실태조사 데이터,N/A,hydrological,groundwater,환경부 (국가지하수정보센터),public_portal,National (전국),2006 - 2024,"Daily, Monthly","6,295개 지점 모니터링 DB",Not in source,"지하수 이용량, 용도별 사용량, 수위",Database,지하수 이용량 산정 영향인자 도출 및 예측 모델 고도화 연구에 활용,open,지하수법에 근거한 국가 지하수 통계자료임,1,Low,Optional,수자원공사 보고서_2. extracted_metadata.csv
New Facility Diagnostic Manual Data,신규설비 진단 기초자료,N/A,field_measurement,water_treatment_facility,"K-water (청주, 성남, 보령, 반월정수장 등)",field_collection,"보령(정) 태양광, 청주(정) 수열·차염, 성남(정) 오존 등",2022–2023 (진단 수행 기간),event-based (시범진단),"4종 신규설비 (차염, 오존, 태양광, 수열)","전력품질분석기(HIOKI 9624), 초음파 유량계, 노점계, 산소농도계, I-V 커브 트레이서","ORP, 수소농도, 정류기 효율, 고조파, 시스템 COP, 히트펌프 COP, PR (Performance Ratio), 절연저항",Not in source,신규 도입 설비의 에너지 진단 기법 정립 및 평가 기준 수립을 위한 실측 데이터로 활용,internal_only,제조사 자문 및 운영자 인터뷰 내용을 포함함,1,Low,Optional,수도사업장 에너지 효율 혁신을 위한 진단 프로세스 고도화 방안 연구_2024.02.13_수도사업장 에너지 효율 혁신을 위한 진단 프로세스 고도화 방안 연구.pdf.pdf
Local Public Enterprise Management Evaluation Data,지방공기업 경영평가 데이터,N/A,administrative,administrative,Ministry of the Interior and Safety (행정안전부),public_portal,National (122 local water enterprises),Annual,annual,122 enterprises,Not in source,"Leadership, strategic planning, management systems, business performance, social value",DB_system,Used to establish performance indicators for water management integration.,open,Conducted every other year for waterworks sector.,1,Low,Optional,미래 물관리 여건을 고려한 광역·지방상수도 최적 운영·관리방안 연구_2021.02.10_미래물관리 최적운영.pdf.pdf
National Demographic Statistics,장래인구특별추계,N/A,administrative,administrative,Statistics Korea (통계청),public_portal,National,2017-2067,One-time projection,50-year projection,Population Projection Model,"Population growth rate, birth/death counts, aging index",Not in source,Used to project future revenue water volume and management risks.,open,Projected population peak in 2028.,1,Low,Optional,미래 물관리 여건을 고려한 광역·지방상수도 최적 운영·관리방안 연구_2021.02.10_미래물관리 최적운영.pdf.pdf
Water Pipe Leakage and Accident Database,수도 사고복구 대장,N/A,field_measurement,hydrological,Local Waterworks Authorities / K-water,internal_DB,Specific local sites,2013-2017,event-based,"Over 20,000 cases annually","GIS, Acoustic leak detectors","Leak location, pipe age, repair cost, interruption time, affected population",Ledger/CSV,Used to estimate repair costs and justify facility modernization.,restricted,Crucial for asset management modeling.,1,Low,Optional,미래 물관리 여건을 고려한 광역·지방상수도 최적 운영·관리방안 연구_2021.02.10_미래물관리 최적운영.pdf.pdf
Automatic Fish Monitoring System Data in Fishways,어도 내 어류 자동 모니터링 설비 분석 자료,N/A,field_measurement,ecology,K-water (한국수자원공단),internal_DB,"낙동강하굿둑 좌안 어도, 우안 어도",2024,event-based (영상 감지 시 자동 기록),Not in source,어도 내 어류 자동 모니터링 설비,"어종, 전장(체장), 이동방향, 통과 개체수","Video, Image (어류 사진, 실루엣, 동영상)",수문 개방 및 어도 운영에 따른 어류 이동 특성 분석 및 소상 효율 평가,internal_only,영상 분석을 통해 어류의 생태적 데이터를 자동 추출함,1,Low,Optional,낙동강하구 기수환경 평가를 위한 수환경 조사 연구_2025.02.10_낙동강하구 기수환경 평가를 위한 수환경 조사 연구.pdf.pdf
Climate Information Portal Climate Change Scenarios,기상청 기후정보포털 기후변화 시나리오,RCP Scenario,model_output,meteorological,기상청 (KMA),public_portal,National (Watershed scale),Future (up to 2100),Not in source,RCP 4.5 / 8.5 scenarios,IPCC 5차 평가보고서 시나리오,"미래 강우량, 강우강도, 지속시간",NetCDF/CSV (inferred),기후변화에 따른 미래 극한 강우 사상 선정 및 탁수 발생 예측,open,IPCC RCP 기후변화 시나리오 데이터 활용,1,Low,Optional,댐 탁수 저감대책의 효과평가 및 기후변화를 고려한 저감기법 개발_2023.02.13_댐 탁수 저감대책 효과평가 및 기후변화를 고려한 저감기법 개발.pdf.pdf
Land Cover Map,토지피복도,Land Cover,geospatial,GIS,환경부 (EGIS),public_portal,댐 유역 전역,2000년대 ~ 2020년,Periodical,GIS DB,Satellite imagery,"토지이용 현황 (논, 밭, 산림, 대지 등)",GIS Shapefile,유역 모형의 토지이용 변화 반영 및 토사유실량 산정,open,2000년대와 현재의 토지이용 변화 비교에 활용,1,Low,Optional,댐 탁수 저감대책의 효과평가 및 기후변화를 고려한 저감기법 개발_2023.02.13_댐 탁수 저감대책 효과평가 및 기후변화를 고려한 저감기법 개발.pdf.pdf
Water Quality Monitoring Network Data,수질측정망 데이터,Water Quality Data,field_measurement,water_quality,환경부/K-water,public_portal,댐 유역 내 주요 지점 및 저수지 내,2000년대 ~ 2020년,Weekly/Monthly/Event-based,댐별 수질측정망 위치도 참조,Not in source,"BOD, COD, SS, T-N, T-P, 탁도 (NTU)",Not in source,"유역 및 저수지 수질 현황 조사, 모형의 검보정(SS 및 탁도 자료)",open,SS와 탁도 간의 관계식 산정 및 수질 개선 효과 분석에 필수 데이터,1,Low,Optional,댐 탁수 저감대책의 효과평가 및 기후변화를 고려한 저감기법 개발_2023.02.13_댐 탁수 저감대책 효과평가 및 기후변화를 고려한 저감기법 개발.pdf.pdf
Alaska Satellite Facility DEM,ASF 수치표고모형,ASF DEM,remote_sensing,geospatial,Alaska Satellite Facility (ASF),public_portal,만대지구 전역,Not in source,one-time,Grid data,Not in source,Elevation (표고),GIS Raster,"만대지구 지형 특성(표고, 경사도) 분석 및 SWAT 모델 입력",open,접경지역 수치지형도 부재로 국외 위성자료 활용,1,Low,Optional,만대지구(양구군) 완충식생대 조성사업 마스터 플랜 수립_2024.02.13_만대지구(양구군) 완충식생대 조성사업 마스터 플랜 수립.pdf.pdf
National Spatial Information Portal Cadastral Map,국가공간정보포털 연속지적도,N/A,DB_system,GIS,국토교통부,public_portal,만대지구,2017–2022,yearly,"2,808개 지번",Not in source,"지목(전, 답, 대지, 임야 등), 토지소유구분",GIS shapefile,토지이용현황 변화 분석 및 사업대상지 토지소유 현황 파악,open,연도별 지목별 면적 변화 및 국유지 비율 분석에 사용,1,Low,Optional,만대지구(양구군) 완충식생대 조성사업 마스터 플랜 수립_2024.02.13_만대지구(양구군) 완충식생대 조성사업 마스터 플랜 수립.pdf.pdf
Highland Cropland GIS,고랭지 밭 지리정보시스템,N/A,geospatial,GIS,환경부,internal_DB,만대지구 경작지,2017–2022,yearly,경작지 경계 자료,"항공정사영상, 위성영상, 디지타이징","경작지 면적, 고랭지 경작지 구분",GIS shapefile,연도별 고랭지 경작지 현황 분석 및 SWAT 모델 입력,internal_only,"해발 400m 이상, 경사 15% 이상을 고랭지 밭으로 정의",1,Low,Optional,만대지구(양구군) 완충식생대 조성사업 마스터 플랜 수립_2024.02.13_만대지구(양구군) 완충식생대 조성사업 마스터 플랜 수립.pdf.pdf
River Terrain Data,하천 지형 자료,GIS Data,geospatial,GIS,환경부/K-water,internal_DB,"섬진강, 금강, 한강, 낙동강 유역",최신,one-time,주요 지점 및 제약 지점 포함,Not in source,"하천 단면, 표고, 제방 현황",GIS shapefile / HEC-RAS geometric data,하류하천 수치해석 모형(HEC-RAS) 구축의 공간적 입력 자료,internal_only,최신 하천 지형자료를 이용해 과거~현재 수치해석 모형 구축,1,Low,Optional,다목적댐 방류량별 하류하천 도달시간 산정에 관한 연구_2025.02.11_다목적댐 방류량별 하류하천 도달시간 산정에 관한 연구.pdf.pdf
National Fishway Information System,국가어도정보시스템,NFIS,DB_system,ecology,한국농어촌공사/환경부,public_portal,전국 하천,2020 기준,One-time (status update),"전국 33,914개 구조물 정보",Not in source,"어도 설치 현황, 평가등급(양호, 미흡, 불량), 보 높이, 형식",Not in source,영산강 및 섬진강 유역의 종적 연속성 저해 요인 분석 및 개보수 대상지 선정,open,"어도 개보수 필요율 산정(영산강 77.3%, 섬진강 77.9%)",1,Low,Optional,"영산강, 섬진강, 제주권 자연성 회복 구상(안) 마련을 위한 연구용역_2022.02.14_자연성회복.pdf.pdf"
River Network Survey Report,하천유역조사 보고서,N/A,literature,hydrological,환경부 (한강홍수통제소),literature_cited,전국 (영산강·섬진강·제주권 포함),2019,Annual,Not in source,Not in source,"유역면적, 하천연장, 인구변화, 토지이용현황, 물 이용량",PDF,연구 대상 지역의 일반 현황 및 인문 현황 분석을 위한 기초 통계자료,open,2019년 하천유역조사 보고서 인용,1,Low,Optional,"영산강, 섬진강, 제주권 자연성 회복 구상(안) 마련을 위한 연구용역_2022.02.14_자연성회복.pdf.pdf"
Emergency Events Database,국제 재난 데이터베이스,EM-DAT,DB_system,natural_disasters,Center for Research on the Epidemiology of Disasters (CRED),public_portal,global,2000-2020,event-based,389 disasters in 2020,Not in source,"사망자 수, 영향을 받은 인원, 경제적 손실액, 재난 유형(홍수, 폭풍, 가뭄 등)",Not in source,2020년 전 세계 기후 관련 재난 현황 및 피해 규모를 분석하기 위한 기초 통계 자료로 활용됨,open,벨기에 루뱅 대학의 재난역학연구센터(CRED)에서 관리하는 공신력 있는 재난 DB임,1,Low,Optional,K-water 기후위기관리평가체계 구축방안 연구_2023.02.13_K-water 기후위기관리평가체계 구축방안 연구.pdf.pdf
Social Network Analysis Data,조직 내 협력 네트워크 분석 데이터,SNA_Data,field_measurement,organizational_structure,K-water (한국수자원공사),field_collection,K-water 본사,"2021-2022 (1, 2차년도)",event-based,본부 및 부처 간 연결망,SNA(Social Network Analysis) 도구,"내향연결(in-degree), 외향연결(out-degree), 밀도, 집중도, 중심성",Not in source,본부 및 부처 간 정보 공유 및 협력 구조를 탐색하여 기후위기 대응 체계를 진단함,internal_only,조직 내 거버넌스 강화를 위한 기초 진단 데이터,1,Low,Optional,K-water 기후위기관리평가체계 구축방안 연구_2023.02.13_K-water 기후위기관리평가체계 구축방안 연구.pdf.pdf
Automatic River Discharge Measurement Station Data (Cheoncheon Site),하천자동유량측정장치 수문자료 (천천지점),OTT SVR 100,field_measurement,streamflow,K-water,field_collection,"Yongdam Dam Watershed, Cheoncheon Site (Yeonhwa Bridge)",,event-based (20:30 measurement referenced),10 velocimeter sensors,OTT SVR 100 (Microwave Radar),"Surface velocity, water level, cross-sectional area, discharge",Not in source,Used as real-world hydrology data to calculate and verify the uncertainty of discharge measurements for automatic facilities.,internal_only,Pilot operation site for IoT-based automatic river discharge measurement platform.,1,Low,Optional,비접촉식 하천자동유량측정장치에 대한 유량측정불확도 산정_2025.02.10_비접촉식 하천자동유량측정장치에 대한 유량측정불확도 산정.pdf.pdf
ISO 748:2007 International Standard,국제기준 ISO 748:2007 (KS B ISO 748),ISO 748,literature,hydrological,ISO / Korean Agency for Technology and Standards,literature_cited,International / National,2007 (Revised 2021),Static standard,Tables E.1 to E.6 for uncertainty percentages,Not in source,"Uncertainty of width, depth, velocity, and discharge",Published standard,Served as the primary technical framework for assessing discharge measurement uncertainty.,open,Replaced the ISO 748 (1997) version.,1,Low,Optional,비접촉식 하천자동유량측정장치에 대한 유량측정불확도 산정_2025.02.10_비접촉식 하천자동유량측정장치에 대한 유량측정불확도 산정.pdf.pdf
